Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765647560,50,,Aggregated,25.300000,0.000000,8,8,8,9,11,13,23,31,43,47,47,1927,0,8,8.718973893617415,6.3650609999967855,47.069795000425074,83.1831862999481
1765647561,50,,Aggregated,24.400000,0.000000,8,8,8,9,11,13,23,31,43,47,47,1961,0,8,8.70252730902676,6.3650609999967855,47.069795000425074,83.1820499745028
1765647562,50,,Aggregated,24.300000,0.000000,8,8,8,9,11,13,23,31,43,47,47,1981,0,8,8.690080165573692,6.3650609999967855,47.069795000425074,83.18223119636548
1765647563,50,,Aggregated,24.500000,0.000000,8,8,8,9,11,13,23,29,38,47,47,2011,0,8,8.676107267528879,6.3650609999967855,47.069795000425074,83.18199900546992
1765647564,50,,Aggregated,24.900000,0.000000,8,8,8,9,11,13,23,29,38,47,47,2030,0,8,8.669325880788533,6.3650609999967855,47.069795000425074,83.18275862068965
1765647565,50,,Aggregated,24.700000,0.000000,8,8,8,9,11,13,23,29,38,47,47,2056,0,8,8.663526445040787,6.3650609999967855,47.069795000425074,83.18190661478599
1765647566,50,,Aggregated,24.400000,0.000000,8,8,8,9,11,13,23,29,38,47,47,2081,0,8,8.656790467564884,6.3650609999967855,47.069795000425074,83.17779913503124
1765647567,50,,Aggregated,24.600000,0.000000,8,8,8,9,11,13,23,29,38,47,47,2108,0,8,8.660744956357796,6.3650609999967855,47.069795000425074,83.17789373814041
1765647568,50,,Aggregated,24.600000,0.000000,8,8,8,9,11,13,23,29,38,47,47,2128,0,8,8.653284729324408,6.3650609999967855,47.069795000425074,83.17763157894737
1765647569,50,,Aggregated,24.500000,0.000000,8,8,8,9,11,13,22,29,38,47,47,2156,0,8,8.6433437282023,6.3650609999967855,47.069795000425074,83.17903525046383
1765647570,50,,Aggregated,24.300000,0.000000,8,8,8,9,11,13,22,29,38,47,47,2176,0,8,8.635298098807496,6.3650609999967855,47.069795000425074,83.18198529411765
1765647571,50,,Aggregated,25.200000,0.000000,8,8,8,9,11,13,21,29,38,47,47,2201,0,8,8.63180812767202,6.3650609999967855,47.069795000425074,83.18446160835984
1765647572,50,,Aggregated,24.700000,0.000000,8,8,8,9,11,13,21,29,38,47,47,2225,0,8,8.620989712813099,6.3650609999967855,47.069795000425074,83.18337078651686
1765647573,50,,Aggregated,24.800000,0.000000,8,8,8,9,11,13,21,29,38,47,47,2244,0,8,8.612291589576254,6.3650609999967855,47.069795000425074,83.18404634581105
1765647574,50,,Aggregated,24.200000,0.000000,8,8,8,9,11,13,21,29,38,47,47,2272,0,8,8.609309363559362,6.3650609999967855,47.069795000425074,83.18353873239437
1765647575,50,,Aggregated,24.300000,0.000000,8,8,8,9,11,13,21,29,38,47,47,2293,0,8,8.59899192760915,6.3650609999967855,47.069795000425074,83.18491059747056
1765647576,50,,Aggregated,23.700000,0.000000,8,8,8,9,11,13,20,29,38,47,47,2319,0,8,8.59135551444904,6.3650609999967855,47.069795000425074,83.1858559724019
1765647577,50,,Aggregated,24.100000,0.000000,8,8,8,9,11,13,20,29,38,47,47,2342,0,8,8.585566631087712,6.3650609999967855,47.069795000425074,83.18232280102477
1765647578,50,,Aggregated,23.800000,0.000000,8,8,8,9,11,13,20,29,38,47,47,2368,0,8,8.58305789949625,6.3650609999967855,47.069795000425074,83.18327702702703
1765647579,50,,Aggregated,24.000000,0.000000,8,8,8,9,11,13,20,29,38,47,47,2389,0,8,8.573453933866467,6.3650609999967855,47.069795000425074,83.18334030975304
1765647580,50,,Aggregated,24.100000,0.000000,8,8,8,9,11,13,19,28,38,47,47,2417,0,8,8.57568831733918,6.3650609999967855,47.069795000425074,83.18494000827472
1765647581,50,,Aggregated,23.600000,0.000000,8,8,8,9,11,13,19,28,38,47,47,2436,0,8,8.570579472909413,6.3650609999967855,47.069795000425074,83.18349753694581
1765647582,50,,Aggregated,23.600000,0.000000,8,8,8,9,11,13,19,28,38,47,47,2464,0,8,8.56151908360686,6.3650609999967855,47.069795000425074,83.18262987012987
1765647583,50,,Aggregated,24.100000,0.000000,8,8,8,9,11,13,19,28,38,47,47,2491,0,8,8.557096200325505,6.3650609999967855,47.069795000425074,83.18265756724207
1765647584,50,,Aggregated,23.600000,0.000000,8,8,8,9,11,13,18,28,38,47,47,2513,0,8,8.55123108476492,6.3650609999967855,47.069795000425074,83.1850378034222
1765647585,50,,Aggregated,24.000000,0.000000,8,8,8,9,11,13,18,28,38,47,47,2534,0,8,8.552468031575843,6.3650609999967855,47.069795000425074,83.18429360694554
1765647586,50,,Aggregated,24.600000,0.000000,8,8,8,9,11,13,18,28,38,47,47,2558,0,8,8.547555403053563,6.3650609999967855,47.069795000425074,83.18491008600469
1765647587,50,,Aggregated,24.000000,0.000000,8,8,8,9,11,13,18,28,38,47,47,2585,0,8,8.541729527277306,6.3650609999967855,47.069795000425074,83.18143133462283
1765647588,50,,Aggregated,24.100000,0.000000,8,8,8,9,11,13,18,27,38,47,47,2611,0,8,8.530218094604567,6.3650609999967855,47.069795000425074,83.1846036001532
1765647589,50,,Aggregated,23.800000,0.000000,8,8,8,9,11,13,18,27,38,47,47,2640,0,8,8.522532343566567,6.3650609999967855,47.069795000425074,83.1844696969697
1765647590,50,,Aggregated,24.400000,0.000000,8,8,8,9,11,13,18,27,38,47,47,2663,0,8,8.515497348484985,6.3650609999967855,47.069795000425074,83.18362748779572
1765647591,50,,Aggregated,24.700000,0.000000,8,8,8,9,11,13,18,27,38,47,47,2693,0,8,8.513434301156073,6.3650609999967855,47.069795000425074,83.18418121054586
1765647592,50,,Aggregated,25.300000,0.000000,8,8,8,9,11,12,18,27,38,47,47,2715,0,8,8.512434897242919,6.3650609999967855,47.069795000425074,83.18232044198895
1765647593,50,,Aggregated,24.500000,0.000000,8,8,8,9,11,12,18,27,38,47,47,2748,0,8,8.509603787850878,6.3650609999967855,47.069795000425074,83.18413391557496
1765647594,50,,Aggregated,25.400000,0.000000,8,8,8,9,11,12,17,27,38,47,47,2769,0,8,8.503945682924522,6.3650609999967855,47.069795000425074,83.18562657999277
